xField[m],yField[m]
0.000000,72.000000
0.000000,0.000000
118.000000,0.000000
118.000000,72.000000
time[ISO-UTC],xPos[m],yPos[m],Latitude[deg],Longitude[deg],speed[km/h],hr[bpm],numSatFix[-],hdop[-]
20181031T183150900,53.067666,44.081010,46.371425,6.228519,1.369080,1.055417e+02,NaN,NaN
20181031T183151000,53.044375,44.077691,46.371425,6.228519,1.299600,1.055417e+02,NaN,NaN
20181031T183151100,53.044375,44.077691,46.371425,6.228519,1.231200,1.055417e+02,NaN,NaN
20181031T183151200,53.064149,44.087854,46.371425,6.228519,1.234800,1.055417e+02,NaN,NaN
20181031T183151300,53.096662,44.121867,46.371426,6.228519,1.271520,1.055417e+02,NaN,NaN
20181031T183151400,53.148950,44.166042,46.371426,6.228519,1.371600,1.055417e+02,NaN,NaN
20181031T183151500,53.187169,44.237593,46.371427,6.228518,1.467000,1.055417e+02,NaN,NaN
20181031T183151600,53.219682,44.271606,46.371427,6.228518,1.378080,1.055417e+02,NaN,NaN
20181031T183151700,53.271970,44.315781,46.371428,6.228518,1.395000,1.057122e+02,NaN,NaN
20181031T183151800,53.277010,44.378931,46.371428,6.228517,1.375200,1.057122e+02,NaN,NaN
20181031T183151900,53.323593,44.385569,46.371429,6.228517,1.427400,1.057122e+02,NaN,NaN
20181031T183152000,53.376545,44.404132,46.371429,6.228518,1.538280,1.057122e+02,NaN,NaN
20181031T183152100,53.433015,44.415851,46.371430,6.228518,1.691280,1.057122e+02,NaN,NaN
20181031T183152200,53.473228,44.410564,46.371430,6.228518,1.808280,1.057122e+02,NaN,NaN
20181031T183152300,53.523328,44.410358,46.371430,6.228518,1.919520,1.057122e+02,NaN,NaN
20181031T183152400,53.583980,44.389621,46.371431,6.228519,2.013480,1.057122e+02,NaN,NaN
20181031T183152500,53.624858,44.358721,46.371431,6.228519,2.082600,1.059070e+02,NaN,NaN
20181031T183152600,53.698914,44.336222,46.371431,6.228520,2.145240,1.059070e+02,NaN,NaN
20181031T183152700,53.765935,44.327410,46.371432,6.228521,2.183400,1.059070e+02,NaN,NaN
20181031T183152800,53.829439,44.325441,46.371432,6.228521,2.199240,1.059070e+02,NaN,NaN
20181031T183152900,53.876022,44.332079,46.371433,6.228521,2.263320,1.059070e+02,NaN,NaN
20181031T183153000,53.956448,44.321505,46.371434,6.228522,2.307240,1.059070e+02,NaN,NaN
20181031T183153100,54.019288,44.345149,46.371434,6.228522,2.337840,1.059070e+02,NaN,NaN
20181031T183153200,54.128710,44.375431,46.371435,6.228522,2.504160,1.059070e+02,NaN,NaN
20181031T183153300,54.211988,44.383626,46.371436,6.228523,2.602800,1.061141e+02,NaN,NaN
20181031T183153400,54.302966,44.352520,46.371436,6.228524,2.592360,1.061141e+02,NaN,NaN
20181031T183153500,54.357248,44.319858,46.371437,6.228524,2.517480,1.061141e+02,NaN,NaN
20181031T183153600,54.367800,44.299326,46.371437,6.228525,2.432520,1.061141e+02,NaN,NaN
20181031T183153700,54.371982,44.266870,46.371437,6.228525,2.359800,1.061141e+02,NaN,NaN
20181031T183153800,54.414189,44.184745,46.371437,6.228526,2.367360,1.061141e+02,NaN,NaN
20181031T183153900,54.376635,44.087582,46.371436,6.228527,2.463120,1.061141e+02,NaN,NaN
20181031T183154000,54.329859,43.959725,46.371435,6.228528,2.682720,1.061141e+02,NaN,NaN
20181031T183154100,54.302857,43.842030,46.371434,6.228530,2.924640,1.061141e+02,NaN,NaN
20181031T183154200,54.285078,43.755030,46.371434,6.228530,2.957040,1.063082e+02,NaN,NaN
